model,input_per_m,output_per_m,currency
haiku-4.5,1.00,5.00,USD
claude-3-haiku,0.25,1.25,USD
gpt-4o-mini,0.15,0.60,USD
gpt-oss-120b,0.039,0.19,USD
gpt-5-nano,0.05,0.40,USD
grok-4.1-fast,0.20,0.50,USD
gemma-4-26b-a4b,0.06,0.33,USD
gemma-4-31b,0.13,0.38,USD
gemini-2.5-flash-lite,0.10,0.40,USD
gemini-3.1-flash-lite-preview,0.25,1.50,USD
mimo-v2.5,0.40,2.00,USD
deepseek-v4-flash,0.14,0.28,USD
jina,0.05,0,USD
voyage-rerank-2.5,0.05,0,USD
voyage-rerank-2.5-lite,0.02,0,USD
bge-reranker-base,0,0,LOCAL
bge-reranker-v2-m3,0,0,LOCAL
